Order_ID,Order_Date,Customer_Name,Product,Category,Region,Quantity,Unit_Price,Sales,Profit
10001,2024-09-07,Customer_229,Mobile,Electronics,South,1,20000,20000,4121.27
10002,2025-03-08,Customer_33,Mobile,Electronics,North,9,20000,180000,17060.33
10003,2025-09-08,Customer_28,Mobile,Electronics,South,4,20000,80000,9564.19
10004,2025-08-26,Customer_285,Headphones,Accessories,North,7,2500,17500,2055.81
10005,2024-06-08,Customer_221,Monitor,Electronics,East,7,12000,84000,11578.78
10006,2025-01-02,Customer_868,Mobile,Electronics,East,2,20000,40000,5783.51
10007,2025-04-15,Customer_550,Smartwatch,Electronics,North,5,10000,50000,10860.59
10008,2025-10-05,Customer_634,Keyboard,Accessories,East,2,1000,2000,347.69
10009,2024-02-16,Customer_678,Smartwatch,Electronics,South,4,10000,40000,7991.09
10010,2024-04-13,Customer_390,Chair,Furniture,East,2,3000,6000,1352.42
10011,2024-12-29,Customer_215,Mouse,Accessories,East,6,500,3000,322.95
10012,2025-06-30,Customer_747,Mobile,Electronics,South,10,20000,200000,37589.26
10013,2025-10-17,Customer_705,Monitor,Electronics,South,8,12000,96000,13872.71
10014,2024-02-02,Customer_825,Table,Furniture,East,1,8000,8000,951.51
10015,2025-08-03,Customer_898,Keyboard,Accessories,East,5,1000,5000,456.26
10016,2025-10-20,Customer_470,Printer,Electronics,South,8,15000,120000,17670.89
10017,2025-07-28,Customer_552,Chair,Furniture,East,3,3000,9000,1097.34
10018,2025-02-12,Customer_371,Smartwatch,Electronics,South,7,10000,70000,16284.09
10019,2024-02-18,Customer_882,Monitor,Electronics,North,9,12000,108000,17700.95
10020,2025-03-08,Customer_611,Monitor,Electronics,North,3,12000,36000,7727.53
10021,2025-04-24,Customer_542,Keyboard,Accessories,East,7,1000,7000,1269.11
10022,2024-04-27,Customer_699,Headphones,Accessories,East,1,2500,2500,489.12
10023,2024-06-10,Customer_465,Table,Furniture,North,2,8000,16000,2078.32
10024,2025-06-03,Customer_935,Chair,Furniture,North,9,3000,27000,5657.41
10025,2024-06-05,Customer_383,Chair,Furniture,South,9,3000,27000,4955.17
10026,2025-09-05,Customer_332,Headphones,Accessories,West,9,2500,22500,5313.24
10027,2024-11-10,Customer_246,Laptop,Electronics,North,2,50000,100000,23794.68
10028,2024-03-28,Customer_750,Printer,Electronics,West,10,15000,150000,36147.21
10029,2024-05-11,Customer_676,Mobile,Electronics,West,9,20000,180000,37834.53
10030,2025-09-13,Customer_434,Headphones,Accessories,South,3,2500,7500,937.95
